district,school_name,poa_school_net,school_website,school_type_1,school_type_2,student_gender,religion,school_size,medium_of_instruction,through_train_sec_school,feeder_sec_school,nominated_sec_school,school_bus,nanny_van,fac_no_of_classroom,fac_no_of_school_hall,fac_no_of_playground,fac_no_of_library,fac_special_rooms,fac_support_for_specialedu,previous_year_tsi_no_of_approved_teaching_posts,previous_year_tsi_total_no_of_teachers,previous_year_tsi_percent_of_received_teacher_training,previous_year_tsi_percent_of_bacherlor,previous_year_tsi_percent_of_master_doctorate_or_above,previous_year_tsi_percent_of_special_edu_training,previous_year_tsi_percent_of_exp_0_4,previous_year_tsi_percent_of_exp_5_9,previous_year_tsi_percent_of_exp_10_or_above,previous_year_no_of_class_p1,previous_year_no_of_class_p2,previous_year_no_of_class_p3,previous_year_no_of_class_p4,previous_year_no_of_class_p5,previous_year_no_of_class_p6,previous_year_no_of_class_total,current_year_no_of_class_p1,current_year_no_of_class_p2,current_year_no_of_class_p3,current_year_no_of_class_p4,current_year_no_of_class_p5,current_year_no_of_class_p6,current_year_no_of_class_total,no_of_test_per_year_P1,no_of_exam_per_year_P1,replace_test_exam_P1,no_of_test_per_year_P2-P6,no_of_exam_P2-P6,upload_school_assessment_policy_to_school_web,upload_school_assignment_policy_to_school_web,school_starts_at,school_starts_at_AMPM,school_ends_at,school_ends_at_AMPM,school_major_concerns
Sham Shui Po,St. Margaret's Co-edu English Secondary & Primary School,/,http://www.smcesps.edu.hk,DSS,Whole Day,Co-ed,Catholicism,7350,English,St. Margaret's Co-educational English Secondary and Primary School,-,-,Yes,Yes,43,2,2,2,"Total 18: 2 Laboratories, 3 Computer Rooms, Campus TV Studio, Modern Language Rooms, Chinese Cultural Room, Music Kingdom & Art Kingdom, Home Sweet Home (Home Economics Room), Humanities Room, Dance Room, Black Box Theatre (Drama Room).","Ramp, Accessible lift, Accessible toilet, Tactile guide path and Accessible public information / service counter.",-,38,76,95,29,26,50,18,32,2,2,2,2,2,2,12,2,2,2,2,2,2,12,0,0,Yes,2,2,No,No,8:15,AM,2:50,PM,Our 2 major concerns: 1. Nurturing Active Learners;  2. Strengthening Positive Education
Sham Shui Po,Tak Nga Primary School,/,http://www.tnps.edu.hk,Private,Whole Day,Co-ed,Catholicism,1260,Chinese,-,-,-,-,Yes,20,1,1,1,"6 (Music Room (2), Computer Room (2),  Activity Room (1)).",-,-,18,99,99,12,0,7,12,81,0,0,0,2,2,2,6,0,0,0,0,2,2,4,0,0,No,0,3,No,No,8:00,AM,2:40,PM,Serve God with a joyful heart.
Sham Shui Po,Tsung Tsin Primary School And Kindergarten,/,http://www.ttpskg.edu.hk/,Private,Whole Day,Co-ed,Protestantism / Christianity,9000,Chinese(incl.: Putonghua) and English,-,-,-,-,Yes,25,2,2,1,"The new 8-storey academic building consists of a lecture room, a black box theatre, a smart library, a future classroom, a STEAM room, a music room, a visual arts room and a cookery room.",Accessible lift and Accessible toilet.,-,69,100,100,38,0,49,25,26,4,5,4,4,4,4,25,4,4,4,5,4,4,25,0,2,Yes,0,2,Yes,Yes,8:05,AM,3:30,PM,"1. To implement Positive Education Programme and Talent Enhancement Programme in nurturing students' whole-person development.<br>2. To continue providing high-quality and diversified curriculum in enhancing students' biliterate, trilingual reading skills and promoting independent learning."
Sham Shui Po,Five Districts Business Welfare Association School,40,http://www.fdbwa.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,2000,Chinese,-,-,-,-,Yes,18,1,2,1,"STEAM room, English room, music and dance room, student activity room, visual arts room, library, tutorial rooms, campus TV and game room.","Ramp, Accessible lift, Accessible toilet and Tutorial rooms and speech therapy room.",33,38,100,100,42,60,37,18,45,2,3,2,3,3,3,16,1,2,3,2,3,3,14,0,0,Yes,2,2,Yes,Yes,8:00,AM,3:30,PM,"Theme of the year:  <br>1. To enhance self-directed learning and develop learning strategies.<br>2. To foster a resilient and unyielding attitude in students, encouraging them to embrace challenges."
Sham Shui Po,Lingnan University Alumni Association (Hong Kong) Primary School,/,http://www.luaaps.edu.hk,DSS,Whole Day,Co-ed,Protestantism / Christianity,3000,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,12,1,1,1,"English Reading Room, STEAM Music Lab, Counselling Room, VA Room, Mindfulness Corner, Resources Room.",-,-,31,100,100,38,54,22,26,52,2,2,2,2,2,2,12,2,2,2,2,2,2,12,0,1,Yes,0,2,Yes,Yes,8:00,AM,3:00,PM,Optimize the curriculum to enhance teaching and learning effectiveness; Foster whole-person development through implementation of holistic positive education.
Sham Shui Po,C.C.C. Heep Woh Primary School (Cheung Sha Wan),40,http://www.heepwohcsw.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,6016,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,30,1,1,1,"Campus Theatre, TV Station, Ceramics and Visual Arts Room, Science Room, Music Room, English Room, Space Room, School History Room, Reading Room, Parent Teacher Association Room, Climbing wall, History Gallery, Game Room, etc.",Accessible lift and Accessible toilet.,59,65,100,100,35,60,31,21,48,5,5,5,5,5,5,30,5,5,5,5,5,5,30,1,1,Yes,2,2,Yes,Yes,8:10,AM,3:30,PM,"1. Communication and Collaboration, Creating the Future of Innovation and Technology<br>2. Physical and Mental Health, Manifesting Care and Compassion; Resilient Growth, Embracing a Self-Determined Life."
Sha Tin,P.L.K. Dr. Jimmy Wong Chi-Ho (Tin Sum Valley) Primary School,88,http://www.plkwch.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,4700,Chinese & English,-,-,-,Yes,-,25,1,2,1,"Canteen, STEM Room, Chi-Ho Expo, Innovative Space, Play Therapy Room, English Lounge, TV Campus, Language Room, Computer Room, Activity Room, Music Room, Visual Arts Room.","Ramp, Accessible lift, Accessible toilet and Accessible public information / service counter.",47,52,100,100,15,38,24,24,52,4,4,4,4,4,5,25,4,4,4,4,4,4,24,0,2,Yes,0,3,Yes,Yes,8:00,AM,3:20,PM,1. To enhance the efficiency of teaching and learning.  <br>2. To promote positive thinking in the campus.  <br>3. To learn more about the community and global issues.
Sha Tin,C.U.H.K. F.A.A. Thomas Cheung School,88,http://www.tcps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,7000,Chinese,-,-,-,-,Yes,25,1,2,1,"Music Room, Visual Art Room, English Room, Computer Room, Conference Room, Remedial Room, Multi-purpose Activity Room, Creative Science Laboratory, School Campus TV,INNO-STEAM multi-purpose activity Room.",Accessible lift and Accessible toilet.,44,51,96,100,53,53,6,22,72,2,4,4,4,5,4,23,2,2,4,4,4,5,21,0,2,Yes,0,3,Yes,Yes,7:50,AM,3:20,PM,"1. Developing Innovation and Technology Education, nurturing internationally competitive talents.<br>2. Establishing Well-Being Education System, promoting whole-person development."
Sha Tin,Carmel Alison Lam Primary School,88,http://www.calps.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,6200,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,24,1,1,1,"Music Room, Multi-Media Computer Room, Art Room, Library, STEAM Room, English room, Student Guidance room, Parent Resources Room, Conference Room etc.",Ramp and Accessible lift.,46,49,100,100,31,60,12,18,70,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,3,Yes,0,3,Yes,Yes,8:00,AM,3:10,PM,"1. Major Concern 1: Unleash academic potential, establish quality learning.<br>2. Major Concern 2: Nurture students' character charms for a holistic living."
Sha Tin,Christian Alliance H.C. Chan Primary School,88,http://www.cahcc.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,6000,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,30,1,2,1,"English Reading Room, Play Room, STEM Makerspace, Dance Room, Lecture Theatre, Music Room, Computer Room, Arts Room, General Studies Room, Campus TV Studio, drama room, library, Sports Room, Prayer Room and Spiritual Garden. ",Accessible lift and Accessible public information / service counter.,51,57,100,100,41,78,7,22,71,5,5,4,4,4,4,26,5,5,5,4,4,4,27,0,2,Yes,0,3,Yes,Yes,8:00,AM,3:00,PM,1. To cultivate a holistic education of Christian values.<br>2. To nurture a harmonious and caring learning environment.<br>3. Implement School-based Gifted Development Programmes.
Sha Tin,F.M.B. Chun Lei Primary School,88,http://www.chunlei.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,3900,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,26,1,1,1,"English Wonderland, Innovation Hub, activity room, music room, visual art room, counselling room, Dream Airway, resource room, multi-purpose room and meeting room, Campus TV.",Ramp and Accessible lift.,50,60,100,98,16,82,18,28,54,5,5,4,4,4,4,26,4,5,5,4,4,4,26,0,2,Yes,0,3,Yes,Yes,7:55,AM,3:00,PM,"1. Living a healthy life in spirit, mind, and body.<br>2. Enhancing learning abilities and creating a confident future."
Sha Tin,Free Methodist Mei Lam Primary School,88,http://www.fmml.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,2000,Chinese & English,-,-,-,Yes,-,25,1,2,1,"9rooms (Positive Education Centre, STEM Room, Library, Campus TV, English Room, General Studies Room, Art & Craft Room, Music Room, Computer Room.)",Accessible lift and Accessible toilet.,38,57,100,100,42,44,14,10,76,2,2,4,4,4,3,19,2,2,2,4,4,4,18,0,2,Yes,0,3,Yes,Yes,8:00,AM,3:25,PM,"Root in Christ (Relationship with God), Explore the Truth (Relationship with things)<br>Inspire the Potential (Relationship with Self: Self-Practice), Accompany in Harmony (Relationship with others)"
Sha Tin,Shatin Government Primary School,88,http://www.stgps.edu.hk,Gov't,Whole Day,Co-ed,Not Applicable,7511,Chinese,-,-,"Shatin Government Secondary School, <br>Helen Liang Memorial Secondary School",Yes,-,29,1,1,1,"Music Room, Art Room, IT Learning Room, Student Guidance Room, Parents' Resource Room, Multipurpose Room, P.E. Room.",Ramp and Accessible lift.,53,55,100,96,46,48,4,18,78,5,5,4,5,5,5,29,5,5,5,4,5,5,29,0,0,Yes,1,2,Yes,Yes,8:00,AM,3:00,PM,"1. To help students attain healthy and flourishing lives.<br>2. To foster students' potential, creativity, inquiry and problem-solving abilities through all round learning. <br>3. To nurture students' positive values so that they can become good citizens who are responsible, committed and able to contribute."
Sha Tin,TWGHs Sin Chu Wan Primary School,88,http://www.scwps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,3451,Chinese,-,-,-,Yes,-,25,1,2,1,"Green Classroom, Creative Zone, Craft Lab, Art Lane, CoolThink @JC Studio, Campus TV, Library, Dancing Room, Conference Room, Small Group Activity Room, Table Tennis Ground, Mathematics Room, English Room, Melody Hub.","Ramp, Accessible lift and Accessible toilet.",44,47,94,81,17,58,19,21,60,3,4,4,4,4,4,23,3,3,4,4,4,4,22,0,0,Yes,0,3,No,No,8:05,AM,3:20,PM,"1. Strengthen values education to promote physical, mental, and spiritual health.<br>2. Enrich students' learning experiences and enhance learning effectiveness through diverse teaching strategies."
Sha Tin,H.K.T.A. Shun Yeung Primary School,89,http://www.syps.edu.hk,Aided,Whole Day,Co-ed,Taoism,12000,Chinese,-,-,-,Yes,-,32,1,2,1,"Mindfulness Room, Indoor Sports Stadium, Multi-purpose Room, Computer Room, STEAM Room, Music Room, English Room, Visual Arts Room, SY Café, VR Centre, Self Learning Centre.","Ramp, Accessible lift and Accessible toilet.",42,51,78,98,25,27,23,23,54,2,2,4,4,4,5,21,2,2,2,4,4,4,18,0,2,Yes,0,3,Yes,Yes,8:00,AM,3:25,PM,1. Enrich students' learning ability. <br>2. Cultivating students' positive values and attitudes.
Sha Tin,Kowloon City Baptist Church Hay Nien Primary School,89,http://www.haynien.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,6000,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,24,1,2,1,"STEM room, Computer room, Library, Music room, Art room, TV campus production centre, Multi-purpose activity room, Counselling room.","Ramp, Accessible lift and Accessible toilet.",45,47,100,100,42,45,17,28,55,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,0,3,No,No,8:00,AM,3:00,PM,"Develop students' language, self-learning abilities, positive thinking and individual potential."
Sha Tin,ELCHK Ma On Shan Lutheran Primary School,89,http://www.mluthps.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,3500,Chinese & English,-,-,,Yes,-,26,1,1,1,"STREAM Room, VR Room, Aviation Room, Adventure Room, Ceramic Room, Campus TV Station, English Room, Music Room, Dancing Room, Library and two Multi-purpose Activity Rooms.","Ramp, Accessible lift and Accessible toilet.",40,47,100,100,40,77,57,30,13,4,3,4,3,3,3,20,4,4,3,4,3,3,21,0,0,Yes,0,3,Yes,Yes,8:10,AM,3:30,PM,1. Utilize diversified teaching strategies to enhance the effectiveness of learning and teaching.<br>2. Enhance national and state security education as well as positive education to cultivate students' correct values.
Sha Tin,Ma On Shan Methodist Primary School,89,http://www.mosmps.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,6700,Chinese(incl.: Putonghua) and English,-,-,-,-,Yes,30,1,3,1,"Library, computer room, language room, science room, visual art room, music room, game room, English room, Rock climbing wall and multi-purpose room.","Accessible lift, Accessible toilet, Braille and tactile floor plan, Tactile guide path and Accessible public information / service counter.",58,62,98,100,26,47,22,26,52,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,3,No,No,7:55,AM,3:05,PM,"Cultivate correct values ​​and establish a healthy attitude towards life.<br>Optimize learning and teaching effectiveness, and cultivate students' active and proactive learning attitude."
Sha Tin,Ma On Shan St. Joseph's Primary School,89,http://www.mossjps.edu.hk,Aided,Whole Day,Co-ed,Catholicism,3500,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,24,1,2,1,"Eight Rooms (STEM room, Visual Arts Room, Music Room, Computer Room, English Room, Campus TV Station, School Library, Sensory Integration Room).","Ramp, Accessible lift and Accessible toilet.",36,38,100,100,37,66,50,11,39,2,2,3,3,4,4,18,2,2,2,3,3,4,16,0,2,Yes,0,3,Yes,Yes,8:15,AM,3:30,PM,"Cater for students’ learning diversity through diversified learning strategies; <br>Create a positive campus atmosphere and promote the positive development of students' physical, mental and spiritual health."
Sha Tin,Ng Clan's Association Tai Pak Memorial School,89,http://www.taipak.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,7500,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,24,1,2,1,"Campus TV, Gifted training room, Visual Arts room, <br>Pottery room, Music room, Science Laboratory, Activity room, Makerspace STEM Room, English Room, Mandarin Corner, Remedial Class Room and Life-skills Room.","Ramp, Accessible lift and Accessible toilet.",30,31,100,100,19,55,33,27,40,1,1,2,3,4,3,14,1,1,1,2,3,4,12,0,0,Yes,2,1,Yes,Yes,8:05,AM,3:05,PM,1. Cultivate independent learning and improve learning and teaching efficiency.  <br>2. Promote character education to cultivate positive attitudes and values.  <br>3. Make good use of school time to promote balanced development of students.
Sha Tin,P.L.K. Chong Kee Ting Primary School,89,http://www.plkcktps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,6900,Chinese,-,-,-,Yes,-,24,1,2,1,"Campus TV, Library, SteamLab, English Corner, Meditation Room, Performing Arts Room, Visual Art Room, Music Room, Five-sense Garden, Creative Room, Covered Playground, Chinese Culture Gallery, Global Gateway and Art Gallery.","Ramp, Accessible lift and Accessible toilet.",47,50,96,100,34,57,10,12,78,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,3,No,0,3,Yes,Yes,8:00,AM,3:30,PM,"Enhance teaching and learning strategies to promote self-directed learning,<br>Establish positive school culture to foster civic awareness."
Sha Tin,Christian Alliance Toi Shan H. C. Chan Primary School,89,https://www.catshcc.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,4000,Chinese,-,-,-,Yes,-,30,1,3,1,"Immersive Learning XR Zone, 2 STEAM Rooms, 1 Computer Room, Student Activity Room, English Reading Room, Music Room, Art Room, Library, Reading Zone, Learning Corner, Parent Resource Centre.","Ramp, Accessible lift, Accessible toilet, Accessible public information / service counter and Visual fire alarm system.",56,63,100,97,26,66,22,31,47,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,3,Yes,Yes,8:10,AM,3:30,PM,1. Implement values education based on the Bible through multiple pathways and collaborative efforts.<br>2. Promote self-directed learning with whole-school participation and diverse strategies centered around the four learning approaches.
Sha Tin,Baptist Lui Ming Choi Primary School,91,http://www.blmcps.edu.hk/,Aided,Whole Day,Co-ed,Protestantism / Christianity,4039,Chinese(incl.: Putonghua) and English,-,-,Baptist Lui Ming Choi Secondary School,Yes,-,25,1,3,1,"Including rooms of different subjects, STEAMaker Zone, Computer Room, Campus TV , Counseling Room, Visual Arts Room, Multipurpose Room, Music Room, Student Activity Center, English Room, Prayer Room.  <br>",Ramp and Accessible lift.,48,52,92,94,23,62,13,27,60,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,0,3,Yes,Yes,8:00,AM,3:15,PM,"School's Key Concerns for the Year: To promote self-regulated learning through assessment. To promote positive life-being through self-discipline and serving others.<br>School Theme of the Year: (1) Learn for Pleasure, (2) Self-discipline and Serve others."
Sha Tin,Dr. Catherine F. Woo Memorial School,91,http://www.dcfwms.edu.hk/,Aided,Whole Day,Co-ed,Not Applicable,2318,Chinese,-,-,-,Yes,Yes,24,1,1,1,"Chinese Pavilion, Discovery Lab, Campus TV, Maker Space, Music Room, Visual Arts Room, Fun Planet (English Room), Go Space, In-Tech Lab, Stem Lab, Joyful Zone, Library.","Ramp, Accessible lift and Accessible toilet.",48,51,100,100,43,62,19,6,75,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,1,Yes,0,3,Yes,Yes,7:45,AM,2:55,PM,1. Advance humanistic qualities and cultivate national pride and patriotism.<br>2. Promote cross-curricular integration and enhance creativity
Sha Tin,Sha Tin Wai Dr. Catherine F. Woo Memorial School,91,http://www.stwdcfwms.edu.hk/,Aided,Whole Day,Co-ed,Not Applicable,3300,Chinese,-,-,-,Yes,-,24,1,2,1,"SaWoo I Lab, Coding Corner, Makers' Maze, Computer Room, Visual Arts Room, <br>English Room, Multi-purpose Activity Room.","Ramp, Accessible lift and Accessible toilet.",47,49,100,100,33,15,14,45,41,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,1,2,Yes,Yes,8:00,AM,2:40,PM,1. Deepen self-directed learning efficacy. Focus on enhancing students' confidence in learning and self-management skills<br>2. Inspiring students' creativity and enhancing integrating skills among different KLAs.<br>3. Promoting Chinese culture and ensure our students are able to have a strong sense of belonging and national identity towards our country. We aim at nurturing a new generation of students that are proud of their own country.
Sha Tin,L.K.W.F.S.L. Wong Yiu Nam Primary School,91,http://www.wynps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,1300,Chinese,-,-,-,Yes,-,25,1,1,1,"7 special rooms (Student Activity Centre, Visual & Art Room, Computer Room, Library, Science Room, Music Room and English Room.)","Ramp, Accessible lift and Accessible toilet.",28,37,98,98,43,43,21,21,58,1,1,2,2,4,3,13,1,1,1,2,2,4,11,1,1,Yes,2,2,Yes,Yes,8:00,AM,3:00,PM,1. Comprehensively implement Career Planning.<br>2. Focus on the value education.<br>3. Consolidate the foundation of National Education and cultivate the patriotism of teachers and students.
